iteration,random_seed,initial_weights,initial_bias,final_weights,final_bias,final_train_accuracy,final_train_loss,final_val_accuracy,final_val_loss,duration
1,42,[0.5 0.5 0.5 0.5],0.5,[-0.46786965 -0.89487532  1.5867382   1.04324884],0.17213148139215534,100.0,0.06176584015940195,100.0,0.06905579482141373,0.016265869140625
2,123,[0.28287388 0.69946909 0.5565957  0.19874106],0.38427994960629275,[-0.60814103 -0.70881923  1.76424824  0.78736178],0.06371393502118701,100.0,0.06336008202124026,100.0,0.07059502859616798,0.015466928482055664
3,456,[0.3663743  0.4003581  0.62371516 0.61373845],0.770101896255188,[-0.54393604 -0.89838636  1.61496485  1.11195669],0.46105400938713875,100.0,0.059795227117680726,100.0,0.06623505973717952,0.018147945404052734
4,789,[0.27837772 0.35485627 0.60456087 0.74688838],0.5193791701464803,[-0.52745394 -0.8544115   1.5843456   1.23068486],0.23722871631234507,100.0,0.05858890688464223,100.0,0.06499185139885852,0.01580047607421875
5,999,[0.52543157 0.78037818 0.562963   0.32831017],0.44677311264659053,[-0.56678418 -0.75127306  1.6920974   0.89898457],0.08688522034710051,100.0,0.06351258260004969,100.0,0.07071228336504708,0.015773296356201172
