Iteration,Epoch,Train_Accuracy,Train_Loss,Val_Accuracy,Val_Loss
Iterasi 1,1.0,50.0,2.7837973475811513,50.0,1.8070025324808412
Iterasi 1,2.0,50.0,1.8080896709379353,50.0,0.9341872408235812
Iterasi 1,3.0,50.0,0.9414223065169517,56.666666666666664,0.48775006464394705
Iterasi 1,4.0,52.85714285714286,0.5003881528659081,100.0,0.4366277314079232
Iterasi 1,5.0,100.0,0.4513292319874305,100.0,0.41397317048365484
Iterasi 1,6.0,100.0,0.42871031326010994,100.0,0.39320113085363567
Iterasi 1,7.0,100.0,0.4080992218986682,100.0,0.37413655098731596
Iterasi 1,8.0,100.0,0.38913563983514177,100.0,0.35658459017651434
Iterasi 1,9.0,100.0,0.3716520498002994,100.0,0.3403953617671608
Iterasi 1,10.0,100.0,0.35550194147388514,100.0,0.32543390450536086
Iterasi 1,11.0,100.0,0.3405549504012575,100.0,0.3115804428910907
Iterasi 1,12.0,100.0,0.32669510192662576,100.0,0.29872854145786193
Iterasi 1,13.0,100.0,0.3138192045871809,100.0,0.2867835676303005
Iterasi 1,14.0,100.0,0.301835390775848,100.0,0.2756613072585049
Iterasi 1,15.0,100.0,0.29066180448261114,100.0,0.26528673283174914
Iterasi 1,16.0,100.0,0.28022543074839545,100.0,0.25559291352456615
Iterasi 1,17.0,100.0,0.2704610576519388,100.0,0.24652005464703755
Iterasi 1,18.0,100.0,0.26131035974392397,100.0,0.23801465354263424
Iterasi 1,19.0,100.0,0.2527210911606363,100.0,0.2300287592278248
Iterasi 1,20.0,100.0,0.24464637674583695,100.0,0.2225193237767683
Iterasi 1,21.0,100.0,0.23704409007373758,100.0,0.21544763440651643
Iterasi 1,22.0,100.0,0.2298763080870674,100.0,0.20877881627234635
Iterasi 1,23.0,100.0,0.22310883300287118,100.0,0.20248139704997134
Iterasi 1,24.0,100.0,0.21671077310555253,100.0,0.19652692540762343
Iterasi 1,25.0,100.0,0.2106541749870165,100.0,0.19088963642634735
Iterasi 1,26.0,100.0,0.20491370067607143,100.0,0.18554615789677154
Iterasi 1,27.0,100.0,0.19946634390749435,100.0,0.18047525220057375
Iterasi 1,28.0,100.0,0.194291180509207,100.0,0.17565758917632077
