Epoch,Train_Accuracy_%,Train_Loss,Val_Accuracy_%,Val_Loss,Final_Bias,Final_Theta1,Final_Theta2,Final_Theta3,Final_Theta4
58,100.0,0.076947,100.0,0.080595,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
59,100.0,0.075768,100.0,0.079436,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
60,100.0,0.074626,100.0,0.078312,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
61,100.0,0.073519,100.0,0.077221,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
62,100.0,0.072445,100.0,0.076162,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
63,100.0,0.071403,100.0,0.075134,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
64,100.0,0.070392,100.0,0.074135,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
65,100.0,0.069409,100.0,0.073165,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
66,100.0,0.068455,100.0,0.072221,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
67,100.0,0.067527,100.0,0.071302,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
68,100.0,0.066625,100.0,0.070409,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
69,100.0,0.065747,100.0,0.069539,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
70,100.0,0.064893,100.0,0.068692,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
71,100.0,0.064062,100.0,0.067867,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
72,100.0,0.063252,100.0,0.067063,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
73,100.0,0.062464,100.0,0.066279,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
74,100.0,0.061695,100.0,0.065514,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
75,100.0,0.060946,100.0,0.064769,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
76,100.0,0.060215,100.0,0.064041,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
77,100.0,0.059502,100.0,0.06333,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
78,100.0,0.058806,100.0,0.062637,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
79,100.0,0.058127,100.0,0.061959,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
