iteration,random_seed,initial_weights,initial_bias,final_weights,final_bias,final_train_accuracy,final_train_loss,final_val_accuracy,final_val_loss,duration
1,42,[0.5 0.5 0.5 0.5],0.5,[-0.47067224 -0.91707396  1.59412224  1.04138599],0.19082366532136202,100.0,0.06724939463767463,100.0,0.05797478818872759,0.021571636199951172
2,123,[0.28287388 0.69946909 0.5565957  0.19874106],0.38427994960629275,[-0.60834346 -0.73550439  1.77080872  0.78724941],0.08313153696545444,100.0,0.06880924708436553,100.0,0.05808866910483199,0.021445751190185547
3,456,[0.3663743  0.4003581  0.62371516 0.61373845],0.770101896255188,[-0.5477016  -0.91754274  1.62159922  1.11074461],0.4794628472191816,100.0,0.06512343777233075,100.0,0.05573858080284699,0.019423484802246094
4,789,[0.27837772 0.35485627 0.60456087 0.74688838],0.5193791701464803,[-0.53197595 -0.87452388  1.59355455  1.23014268],0.25413841468985887,100.0,0.06387587762031531,100.0,0.055043689751020496,0.016393661499023438
5,999,[0.52543157 0.78037818 0.562963   0.32831017],0.44677311264659053,[-0.5673225  -0.77758845  1.69878499  0.89782386],0.10691373676963475,100.0,0.06898104535944866,100.0,0.05873516883716656,0.015869617462158203
